2026-05-11 16:04:54 | DEBUG    | core.pdf_processor | Chunked testing .pdf: 6 pages → 18 chunks
2026-05-11 16:04:54 | INFO     | core.pdf_processor | testing .pdf: 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1061ms)
2026-05-11 16:04:54 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-11 16:04:54 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 31ms
2026-05-11 16:04:54 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing .pdf)
2026-05-11 16:05:08 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 16:07:52 | INFO     | core.pdf_processor | Parsing PDF: testing .pdf (hash=5fec98af616fe24e)
2026-05-11 16:07:53 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-11 16:07:53 | DEBUG    | core.pdf_processor | Chunked testing .pdf: 6 pages → 18 chunks
2026-05-11 16:07:53 | INFO     | core.pdf_processor | testing .pdf: 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1250ms)
2026-05-11 16:07:53 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-11 16:07:53 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 31ms
2026-05-11 16:07:53 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing .pdf)
2026-05-11 16:08:08 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 16:08:28 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 16:14:45 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-11 16:14:46 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-11 16:14:46 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-11 16:14:46 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1046ms)
2026-05-11 16:14:46 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-11 16:14:46 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 16ms
2026-05-11 16:14:46 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-11 16:15:26 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 16:15:55 | DEBUG    | core.vector_store | Search: 2 results (threshold=0.10) in 0ms
2026-05-12 13:08:03 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 13:08:05 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 13:08:05 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 13:08:05 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1202ms)
2026-05-12 13:08:05 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-12 13:08:05 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 31ms
2026-05-12 13:08:05 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-12 13:08:17 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 14:09:38 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 14:09:39 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 14:09:39 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 14:09:39 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1218ms)
2026-05-12 14:09:39 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-12 14:09:39 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 31ms
2026-05-12 14:09:39 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-12 14:09:50 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:04:59 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 19:05:01 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 19:05:01 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 19:05:01 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1140ms)
2026-05-12 19:05:01 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-12 19:05:01 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 30ms
2026-05-12 19:05:01 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-12 19:05:20 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:10:22 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 19:10:23 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 19:10:23 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 19:10:23 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1030ms)
2026-05-12 19:10:23 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-12 19:10:23 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 15ms
2026-05-12 19:10:23 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-12 19:10:23 | INFO     | core.vector_store | VectorStore saved: 18 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
2026-05-12 19:10:42 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:11:19 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 19:11:20 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
